chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	16	4.2589978E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	761585	762902	-	79854	LINC00115	79	4.56335937E-1	DAVIES_SUCCESS
chr1	762970	794826	+	643837	LOC643837	127	2.59862218E-1	DAVIES_SUCCESS
chr1	803450	812182	-	284593	FAM41C	178	9.64212123E-2	DAVIES_SUCCESS
chr1	852952	854817	-	100130417	LOC100130417	183	1.86952777E-2	DAVIES_SUCCESS
chr1	860529	879961	+	148398	SAMD11	228	1.43845701E-2	DAVIES_SUCCESS
chr1	879582	894679	-	26155	NOC2L	257	1.45791911E-2	DAVIES_SUCCESS
chr1	895966	901099	+	339451	KLHL17	217	1.20471491E-2	DAVIES_SUCCESS
chr1	901876	910484	+	84069	PLEKHN1	225	1.93842655E-2	DAVIES_SUCCESS
chr1	910578	917473	-	84808	C1orf170	214	2.99405044E-2	DAVIES_SUCCESS
chr1	934341	935552	-	57801	HES4	221	9.53375789E-2	DAVIES_SUCCESS
chr1	948846	949919	+	9636	ISG15	223	1.32794222E-1	DAVIES_SUCCESS
chr1	955502	991499	+	375790	AGRN	300	2.09390428E-1	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	235	5.36796567E-1	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	313	8.39861036E-1	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	298	8.5098739E-1	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	291	7.43074769E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	292	7.45465725E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	286	7.33879147E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	380	7.7326987E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	319	6.21972506E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	306	5.96249311E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	306	5.17685792E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	266	4.92062764E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	219	5.86796428E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	196	5.52349447E-1	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	113	2.50325184E-1	DAVIES_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	105	1.3801917E-1	DAVIES_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	85	9.13884334E-2	DAVIES_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	142	1.70717215E-1	DAVIES_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	158	1.73000934E-1	DAVIES_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	158	1.85983283E-1	DAVIES_SUCCESS
chr1	1270657	1284492	-	1855	DVL1	166	1.84793416E-1	DAVIES_SUCCESS
chr1	1288070	1297157	-	54587	MXRA8	180	1.9830573E-1	DAVIES_SUCCESS
chr1	1309109	1310818	-	54998	AURKAIP1	196	1.68227425E-1	DAVIES_SUCCESS
chr1	1321090	1334718	-	81669	CCNL2	220	1.63536694E-1	DAVIES_SUCCESS
chr1	1334909	1337426	+	148413	LOC148413	215	1.77498231E-1	DAVIES_SUCCESS
chr1	1337275	1342693	-	55052	MRPL20	225	1.98301778E-1	DAVIES_SUCCESS
chr1	1353799	1356824	-	441869	ANKRD65	178	1.96120201E-1	DAVIES_SUCCESS
chr1	1361507	1363167	+	643965	TMEM88B	149	1.6329431E-1	DAVIES_SUCCESS
